id,product_id,name,value,printful_variant_id,price,in_stock,is_available,color,color_hex,design,size,created_at,updated_at,color_name,color_hex_code,size_name
7083ff51-b3cb-4232-8461-ace4cbdd7d1f,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Heather Dust / 2XL,Heather Dust-2XL,4938814157,24.99,true,true,Heather Dust,#e5d9c9,,2XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Heather Dust,,2XL
7095852c-fa45-46f2-a0da-2fe2295e0de8,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Olive / XL,Olive-XL,4938821320,24.99,true,true,Olive,#5b642f,,XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Olive,,XL
711eb8c5-bd8b-412b-8d2f-be647286f6f7,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Pink / S,Light Pink-S,4938797555,39.99,true,true,Light Pink,#f3d4e3,,S,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Pink,,S
745cc437-5d37-4e24-9a79-7c40ecec173e,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Athletic Heather / XL,Athletic Heather-XL,4938814146,24.99,true,true,Athletic Heather,#cececc,,XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Athletic Heather,,XL
76b1404f-f4dd-4964-a0f5-972fe355ab2d,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Navy / S,Navy-S,4938821292,24.99,true,true,Navy,#212642,,S,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Navy,,S
76ee6483-9cc9-40c7-8905-67288e83488c,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Army / M,Army-M,4938821313,24.99,true,true,Army,#5f5849,,M,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Army,,M
79ce9c54-16c9-4535-9f43-bfeb521548f2,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Black / XL,Black-XL,4938821290,24.99,true,true,Black,#0c0c0c,,XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Black,,XL
7b2f400c-dbd8-4ffe-946a-3a64c20d13aa,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Yellow / S,Yellow-S,4938814148,24.99,true,true,Yellow,#ffd667,,S,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Yellow,,S
7c1a5ada-802a-4dc3-b9c0-053b66874853,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Dark Grey Heather / 2XL,Dark Grey Heather-2XL,4938821306,24.99,true,true,Dark Grey Heather,#3E3C3D,,2XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Dark Grey Heather,,2XL
7d25cf6a-ceb3-4fd1-b24a-78ee2d35a0d6,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Steel Blue / XL,Steel Blue-XL,4938821340,24.99,true,true,Steel Blue,#668ea7,,XL,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Steel Blue,,XL
814bcc17-4d53-4c2c-bb95-affa6efcde66,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Heather Deep Teal / S,Heather Deep Teal-S,4938821327,24.99,true,true,Heather Deep Teal,#447085,,S,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Heather Deep Teal,,S
81a28f1c-1685-4c26-b624-7c2e9c0204a4,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / White / S,White-S,4938814163,24.99,true,true,White,#ffffff,,S,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,White,,S
8316f68f-7dd8-4b02-a7f9-ec1b11af73f6,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Blue / M,Light Blue-M,4938797551,39.99,true,true,Light Blue,#a1c5e1,,M,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Blue,,M
84da461c-d85e-487f-b62c-8d557b25f2f3,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Yellow / XL,Yellow-XL,4938814151,24.99,true,true,Yellow,#ffd667,,XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Yellow,,XL
85621cac-a88d-4fc9-9cc4-391baf67055e,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Asphalt / M,Asphalt-M,4938821308,24.99,true,true,Asphalt,#52514f,,M,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Asphalt,,M
